text;label;
cocksuccers;1;0,151199845
negr0;1;0,987932846
cums;1;0,674715295
spider;0;0,484509163
debugger;0;0,508885365
creativity;0;0,775545612
twattish;1;0,646164612
scissors;0;0,257725047
exploration;0;0,398450128
blacky;1;0,181832076
sumbitch;1;0,590441548
kikes;1;0,363574391
slantard;1;0,287379137
mentorship;0;0,903633691
implementation;0;0,022146919
cockhead;1;0,043342806
costume;0;0,974659855
fackuhs;1;0,83177945
eagle;0;0,60038018
fruit;0;0,354182801
assfkcer;1;0,633133333
nutsack;1;0,332095977
roller;0;0,126114936
b1tch3s;1;0,634733484
dream;0;0,627922363
dickhead;1;0,221795805
crow;1;0,888920847
t-shirt;0;0,229431775
kindness;0;0,804650151
consultant;0;0,670189252
give;0;0,060368558
pedophl;1;0,257012293
spinach;0;0,052033135
trainer;0;0,787278099
muthafuckers;1;0,399363488
journalist;0;0,133905661
f@k;1;0,404485093
soab;1;0,320407792
dicksucker;1;0,296643766
sustainability;0;0,742175518
growth;0;0,854731869
developer;0;0,485710744
fuk1ng;1;0,954750103
rehearsal;0;0,715299534
garage;0;0,271322322
mutherfuckers;1;0,420322064
bitchtits;1;0,262683293
tree;0;0,673114269
rice;0;0,930671283
muddafukkas;1;0,539971089
belt;0;0,834273139
god dammit;1;0,885240061
towel;0;0,593019187
festival;0;0,109964283
prick;1;0,216237737
at;0;0,707004486
muthafucka;1;0,926065727
asshat;1;0,856355428
motherboard;0;0,369481944
pigfukker;1;0,829129223
god damn;1;0,215726215
song;0;0,270782965
mtherfuker;1;0,717608701
coffee;0;0,536001477
d1ldo;1;0,193572209
development;0;0,371283601
shoe;0;0,017705802
musician;0;0,176263156
tissue;0;0,855224311
vacuum;0;0,856781584
rooster;0;0,34520913
commute;0;0,040579589
highway;0;0,020392519
future;0;0,172938185
g0ddamn;1;0,114763437
tears;0;0,156000996
closet;0;0,974674399
simplification;0;0,138416069
cyberfucs;1;0,317472506
trip;0;0,743401236
bread;0;0,059964859
fag bag;1;0,333746921
tallywacker;1;0,336437812
blow a load;1;0,474138751
